term,definition,domain
connect a cable,"A software term meaning kablo bağlamak, used in site, drawing, installation or coordination contexts.",software
open an app,"A software term meaning uygulama açmak, used in site, drawing, installation or coordination contexts.",software
close an app,"A software term meaning uygulama kapatmak, used in site, drawing, installation or coordination contexts.",software
access from anywhere,"A software term meaning her yerden erişmek, used in site, drawing, installation or coordination contexts.",software
save a version,"A software term meaning bir sürüm kaydetmek, used in site, drawing, installation or coordination contexts.",software
track changes,"A software term meaning değişiklikleri takip etmek, used in site, drawing, installation or coordination contexts.",software
write documentation,"A software term meaning dokümantasyon yazmak, used in site, drawing, installation or coordination contexts.",software
read the manual,"A software term meaning kılavuzu okumak, used in site, drawing, installation or coordination contexts.",software
try new technology,"A software term meaning yeni teknoloji denemek, used in site, drawing, installation or coordination contexts.",software
check the log,"A software term meaning günlüğü kontrol etmek, used in site, drawing, installation or coordination contexts.",software
monitor the system,"A software term meaning sistemi izlemek, used in site, drawing, installation or coordination contexts.",software
reduce loading time,"A software term meaning yükleme süresini azaltmak, used in site, drawing, installation or coordination contexts.",software
analyze the data,"A software term meaning veriyi analiz etmek, used in site, drawing, installation or coordination contexts.",software
create a chart,"A software term meaning grafik oluşturmak, used in site, drawing, installation or coordination contexts.",software
train a model,"A software term meaning model eğitmek, used in site, drawing, installation or coordination contexts.",software
make a prediction,"A software term meaning tahmin yapmak, used in site, drawing, installation or coordination contexts.",software
style guide (documentation),"A software term meaning stil rehberi (dokümantasyon), used in site, drawing, installation or coordination contexts.",software
tutorial,"A software term meaning eğitim materyali (tutorial), used in site, drawing, installation or coordination contexts.",software
device configuration file,"A software term meaning cihaz yapılandırma dosyası, used in site, drawing, installation or coordination contexts.",software
firmware version control,"A software term meaning aygıt yazılımı sürüm kontrolü, used in site, drawing, installation or coordination contexts.",software
edge device software,"A software term meaning uç cihaz yazılımı, used in site, drawing, installation or coordination contexts.",software
smart home automation,"A software term meaning akıllı ev otomasyonu, used in site, drawing, installation or coordination contexts.",software
dual licensing model,"A software term meaning çift lisanslama modeli, used in site, drawing, installation or coordination contexts.",software
message payload,"A software term meaning mesaj yükü (payload), used in site, drawing, installation or coordination contexts.",software
queue depth monitoring,"A software term meaning kuyruk derinliği izleme, used in site, drawing, installation or coordination contexts.",software
service dependency mapping,"A software term meaning servis bağımlılığı haritalama, used in site, drawing, installation or coordination contexts.",software
service ownership model,"A software term meaning servis sahiplik modeli, used in site, drawing, installation or coordination contexts.",software
mobile deep linking,"A software term meaning mobil derin bağlantı (deep link), used in site, drawing, installation or coordination contexts.",software
app crash reporting,"A software term meaning uygulama çökme raporlama, used in site, drawing, installation or coordination contexts.",software
data quality assessment,"A software term meaning veri kalitesi değerlendirmesi, used in site, drawing, installation or coordination contexts.",software
data storytelling,"A software term meaning veri ile hikaye anlatımı, used in site, drawing, installation or coordination contexts.",software
container lifecycle management,"A software term meaning konteyner yaşam döngüsü yönetimi, used in site, drawing, installation or coordination contexts.",software
container health check,"A software term meaning konteyner sağlık kontrolü, used in site, drawing, installation or coordination contexts.",software
database sharding key,"A software term meaning veritabanı parçalama anahtarı, used in site, drawing, installation or coordination contexts.",software
secondary index,"A software term meaning ikincil indeks, used in site, drawing, installation or coordination contexts.",software
performance regression,"A software term meaning performans gerilemesi, used in site, drawing, installation or coordination contexts.",software
system throughput measurement,"A software term meaning sistem verim ölçümü, used in site, drawing, installation or coordination contexts.",software
user persona,"A software term meaning kullanıcı personası, used in site, drawing, installation or coordination contexts.",software
user journey map,"A software term meaning kullanıcı yolculuğu haritası, used in site, drawing, installation or coordination contexts.",software
log rotation,"A software term meaning günlük döndürme (log rotation), used in site, drawing, installation or coordination contexts.",software
service dashboard,"A software term meaning servis panosu, used in site, drawing, installation or coordination contexts.",software
hardware compatibility check,"A software term meaning donanım uyumluluk kontrolü, used in site, drawing, installation or coordination contexts.",software
system diagnostics,"A software term meaning sistem tanılaması, used in site, drawing, installation or coordination contexts.",software
cloud sync,"A software term meaning bulut senkronizasyonu, used in site, drawing, installation or coordination contexts.",software
multi-tasking (computer),"A software term meaning çoklu görev (bilgisayar), used in site, drawing, installation or coordination contexts.",software
security token,"A software term meaning güvenlik belirteci (token), used in site, drawing, installation or coordination contexts.",software
endpoint protection,"A software term meaning uç nokta koruması, used in site, drawing, installation or coordination contexts.",software
cloud resource tagging,"A software term meaning bulut kaynağı etiketleme, used in site, drawing, installation or coordination contexts.",software
database connection string,"A software term meaning veritabanı bağlantı dizesi, used in site, drawing, installation or coordination contexts.",software
web component,"A software term meaning web bileşeni, used in site, drawing, installation or coordination contexts.",software
API throttling policy,"A software term meaning API kısıtlama politikası, used in site, drawing, installation or coordination contexts.",software
test data management,"A software term meaning test veri yönetimi, used in site, drawing, installation or coordination contexts.",software
deployment rollback strategy,"A software term meaning dağıtım geri alma stratejisi, used in site, drawing, installation or coordination contexts.",software
event bus,"A software term meaning olay veri yolu (event bus), used in site, drawing, installation or coordination contexts.",software
model versioning,"A software term meaning model sürümleme, used in site, drawing, installation or coordination contexts.",software
garbage collection tuning,"A software term meaning çöp toplama ayarlama, used in site, drawing, installation or coordination contexts.",software
network segmentation,"A software term meaning ağ bölümlendirmesi, used in site, drawing, installation or coordination contexts.",software
mobile analytics integration,"A software term meaning mobil analitik entegrasyonu, used in site, drawing, installation or coordination contexts.",software
data pipeline orchestration,"A software term meaning veri hattı orkestrasyonu, used in site, drawing, installation or coordination contexts.",software
architectural decision governance,"A software term meaning mimari karar yönetişimi, used in site, drawing, installation or coordination contexts.",software
design system governance,"A software term meaning tasarım sistemi yönetişimi, used in site, drawing, installation or coordination contexts.",software
multi-master replication,"A software term meaning çoklu ana replikasyon, used in site, drawing, installation or coordination contexts.",software
golden signal monitoring,"A software term meaning altın sinyal izleme, used in site, drawing, installation or coordination contexts.",software
release train model,"A software term meaning sürüm treni modeli, used in site, drawing, installation or coordination contexts.",software
ternary operator,"A software term meaning üçlü operatör, used in site, drawing, installation or coordination contexts.",software
bitwise operation,"A software term meaning bit düzeyinde işlem, used in site, drawing, installation or coordination contexts.",software
switch statement,"A software term meaning switch ifadesi, used in site, drawing, installation or coordination contexts.",software
enum type,"A software term meaning numaralandırma tipi (enum), used in site, drawing, installation or coordination contexts.",software
sparse array,"A software term meaning seyrek dizi, used in site, drawing, installation or coordination contexts.",software
multi-dimensional array,"A software term meaning çok boyutlu dizi, used in site, drawing, installation or coordination contexts.",software
insertion sort,"A software term meaning ekleme sıralaması, used in site, drawing, installation or coordination contexts.",software
selection sort,"A software term meaning seçim sıralaması, used in site, drawing, installation or coordination contexts.",software
mixin,"A software term meaning mixin (yazılım), used in site, drawing, installation or coordination contexts.",software
duck typing,"A software term meaning duck typing, used in site, drawing, installation or coordination contexts.",software
partial application,"A software term meaning kısmi uygulama (partial application), used in site, drawing, installation or coordination contexts.",software
strangler fig pattern,"A software term meaning boğucu incir (strangler fig) deseni, used in site, drawing, installation or coordination contexts.",software
git stash,"A software term meaning git stash (geçici saklama), used in site, drawing, installation or coordination contexts.",software
snapshot testing,"A software term meaning anlık görüntü testi (snapshot), used in site, drawing, installation or coordination contexts.",software
watch expression,"A software term meaning izleme ifadesi (watch), used in site, drawing, installation or coordination contexts.",software
spot instance,"A software term meaning spot örneği (cloud), used in site, drawing, installation or coordination contexts.",software
container orchestration API,"A software term meaning konteyner orkestrasyon API'si, used in site, drawing, installation or coordination contexts.",software
composite key,"A software term meaning bileşik anahtar, used in site, drawing, installation or coordination contexts.",software
wide-column store,"A software term meaning geniş sütunlu depo, used in site, drawing, installation or coordination contexts.",software
form state management,"A software term meaning form durumu yönetimi, used in site, drawing, installation or coordination contexts.",software
dependency graph,"A software term meaning bağımlılık grafiği, used in site, drawing, installation or coordination contexts.",software
API throttling response,"A software term meaning API kısıtlama yanıtı, used in site, drawing, installation or coordination contexts.",software
network address translation,"A software term meaning ağ adresi çevirimi (NAT), used in site, drawing, installation or coordination contexts.",software
certificate pinning,"A software term meaning sertifika sabitleme, used in site, drawing, installation or coordination contexts.",software
environment path variable,"A software term meaning ortam yol değişkeni (PATH), used in site, drawing, installation or coordination contexts.",software
confusion matrix,"A software term meaning karışıklık matrisi, used in site, drawing, installation or coordination contexts.",software
pivot table,"A software term meaning pivot tablo, used in site, drawing, installation or coordination contexts.",software
spike (agile),"A software term meaning spike (agile araştırma görevi), used in site, drawing, installation or coordination contexts.",software
platform engineer,"A software term meaning platform mühendisi, used in site, drawing, installation or coordination contexts.",software
dead code elimination,"A software term meaning ölü kod eleme, used in site, drawing, installation or coordination contexts.",software
cold start latency,"A software term meaning soğuk başlangıç gecikmesi, used in site, drawing, installation or coordination contexts.",software
micro-interaction design,"A software term meaning mikro etkileşim tasarımı, used in site, drawing, installation or coordination contexts.",software
attribution requirement,"A software term meaning atıf gerekliliği, used in site, drawing, installation or coordination contexts.",software
thermal throttling,"A software term meaning termal kısıtlama, used in site, drawing, installation or coordination contexts.",software
technical spike,"A software term meaning teknik araştırma (spike), used in site, drawing, installation or coordination contexts.",software
service catalog,"A software term meaning servis kataloğu, used in site, drawing, installation or coordination contexts.",software
message replay,"A software term meaning mesaj tekrar oynatma, used in site, drawing, installation or coordination contexts.",software
distributed log correlation,"A software term meaning dağıtık günlük korelasyonu, used in site, drawing, installation or coordination contexts.",software
versioned documentation,"A software term meaning sürümlü dokümantasyon, used in site, drawing, installation or coordination contexts.",software
cookie tracking consent,"A software term meaning çerez takip onayı, used in site, drawing, installation or coordination contexts.",software
federated learning,"A software term meaning federe öğrenme, used in site, drawing, installation or coordination contexts.",software
foreign function interface,"A software term meaning yabancı fonksiyon arayüzü, used in site, drawing, installation or coordination contexts.",software
undefined behavior,"A software term meaning tanımsız davranış, used in site, drawing, installation or coordination contexts.",software
bloom filter,"A software term meaning bloom filtresi, used in site, drawing, installation or coordination contexts.",software
branch and bound,"A software term meaning dal ve sınır algoritması, used in site, drawing, installation or coordination contexts.",software
law of Demeter,"A software term meaning Demeter yasası, used in site, drawing, installation or coordination contexts.",software
saga orchestration,"A software term meaning saga orkestrasyonu, used in site, drawing, installation or coordination contexts.",software
cloud landing zone,"A software term meaning bulut iniş bölgesi (landing zone), used in site, drawing, installation or coordination contexts.",software
optimistic locking,"A software term meaning iyimser kilitleme, used in site, drawing, installation or coordination contexts.",software
security chaos engineering,"A software term meaning güvenlik kaos mühendisliği, used in site, drawing, installation or coordination contexts.",software
model drift detection,"A software term meaning model kayması tespiti, used in site, drawing, installation or coordination contexts.",software
adaptive load shedding,"A software term meaning uyarlanabilir yük atma, used in site, drawing, installation or coordination contexts.",software
feature toggle governance,"A software term meaning özellik anahtarı yönetişimi, used in site, drawing, installation or coordination contexts.",software
password manager,"A software term meaning parola yöneticisi, used in site, drawing, installation or coordination contexts.",software
two-step verification,"A software term meaning iki adımlı doğrulama, used in site, drawing, installation or coordination contexts.",software
guest network,"A software term meaning misafir ağı, used in site, drawing, installation or coordination contexts.",software
network name,"A software term meaning ağ adı (SSID), used in site, drawing, installation or coordination contexts.",software
external hard drive,"A software term meaning harici sabit disk, used in site, drawing, installation or coordination contexts.",software
webcam,"A software term meaning web kamerası, used in site, drawing, installation or coordination contexts.",software
app icon,"A software term meaning uygulama simgesi, used in site, drawing, installation or coordination contexts.",software
mobile data,"A software term meaning mobil veri, used in site, drawing, installation or coordination contexts.",software
privacy setting,"A software term meaning gizlilik ayarı, used in site, drawing, installation or coordination contexts.",software
spam email,"A software term meaning istenmeyen e-posta (spam), used in site, drawing, installation or coordination contexts.",software
file extension,"A software term meaning dosya uzantısı, used in site, drawing, installation or coordination contexts.",software
hidden file,"A software term meaning gizli dosya, used in site, drawing, installation or coordination contexts.",software
page title,"A software term meaning sayfa başlığı, used in site, drawing, installation or coordination contexts.",software
footer,"A software term meaning alt bilgi (footer), used in site, drawing, installation or coordination contexts.",software
shared folder,"A software term meaning paylaşılan klasör, used in site, drawing, installation or coordination contexts.",software
sync status,"A software term meaning senkronizasyon durumu, used in site, drawing, installation or coordination contexts.",software
email address,"A software term meaning e-posta adresi, used in site, drawing, installation or coordination contexts.",software
user name,"A software term meaning kullanıcı adı, used in site, drawing, installation or coordination contexts.",software
home screen,"A software term meaning ana ekran, used in site, drawing, installation or coordination contexts.",software
test the app,"A software term meaning uygulamayı test etmek, used in site, drawing, installation or coordination contexts.",software
run the code,"A software term meaning kodu çalıştırmak, used in site, drawing, installation or coordination contexts.",software
secure password,"A software term meaning güvenli parola oluşturmak, used in site, drawing, installation or coordination contexts.",software
network cable,"A software term meaning ağ kablosu, used in site, drawing, installation or coordination contexts.",software
smartphone,"A software term meaning akıllı telefon, used in site, drawing, installation or coordination contexts.",software
power button,"A software term meaning güç düğmesi, used in site, drawing, installation or coordination contexts.",software
manufacturing plant,"A industrial term meaning üretim tesisi, used in site, drawing, installation or coordination contexts.",industrial
production worker,"A industrial term meaning üretim işçisi, used in site, drawing, installation or coordination contexts.",industrial
product,"A industrial term meaning ürün, used in site, drawing, installation or coordination contexts.",industrial
industrial engineering,"A industrial term meaning endüstri mühendisliği, used in site, drawing, installation or coordination contexts.",industrial
production process,"A industrial term meaning üretim süreci, used in site, drawing, installation or coordination contexts.",industrial
operational efficiency rate,"A industrial term meaning operasyonel verimlilik oranı, used in site, drawing, installation or coordination contexts.",industrial
labor productivity,"A industrial term meaning işgücü üretkenliği, used in site, drawing, installation or coordination contexts.",industrial
process workflow diagram,"A industrial term meaning süreç iş akışı diyagramı, used in site, drawing, installation or coordination contexts.",industrial
systems approach,"A industrial term meaning sistem yaklaşımı, used in site, drawing, installation or coordination contexts.",industrial
process improvement,"A industrial term meaning süreç iyileştirme, used in site, drawing, installation or coordination contexts.",industrial
value chain,"A industrial term meaning değer zinciri, used in site, drawing, installation or coordination contexts.",industrial
operational efficiency,"A industrial term meaning operasyonel verimlilik, used in site, drawing, installation or coordination contexts.",industrial
industrial system design,"A industrial term meaning endüstriyel sistem tasarımı, used in site, drawing, installation or coordination contexts.",industrial
resource utilization,"A industrial term meaning kaynak kullanımı, used in site, drawing, installation or coordination contexts.",industrial
throughput rate,"A industrial term meaning verim hızı (throughput), used in site, drawing, installation or coordination contexts.",industrial
systems thinking,"A industrial term meaning sistem düşüncesi, used in site, drawing, installation or coordination contexts.",industrial
socio-technical system,"A industrial term meaning sosyo-teknik sistem, used in site, drawing, installation or coordination contexts.",industrial
multidisciplinary optimization,"A industrial term meaning çok disiplinli optimizasyon, used in site, drawing, installation or coordination contexts.",industrial
industrial engineering methodology,"A industrial term meaning endüstri mühendisliği metodolojisi, used in site, drawing, installation or coordination contexts.",industrial
enterprise-wide process optimization,"A industrial term meaning kurum geneli süreç optimizasyonu, used in site, drawing, installation or coordination contexts.",industrial
factory worker,"A industrial term meaning fabrika işçisi, used in site, drawing, installation or coordination contexts.",industrial
work process,"A industrial term meaning iş süreci, used in site, drawing, installation or coordination contexts.",industrial
decision making,"A industrial term meaning karar verme, used in site, drawing, installation or coordination contexts.",industrial
linear programming,"A industrial term meaning doğrusal programlama, used in site, drawing, installation or coordination contexts.",industrial
optimization problem,"A industrial term meaning optimizasyon problemi, used in site, drawing, installation or coordination contexts.",industrial
objective function,"A industrial term meaning amaç fonksiyonu, used in site, drawing, installation or coordination contexts.",industrial
constraint (optimization),"A industrial term meaning kısıt (optimizasyon), used in site, drawing, installation or coordination contexts.",industrial
feasible solution,"A industrial term meaning uygun çözüm, used in site, drawing, installation or coordination contexts.",industrial
decision variable,"A industrial term meaning karar değişkeni, used in site, drawing, installation or coordination contexts.",industrial
integer programming,"A industrial term meaning tamsayılı programlama, used in site, drawing, installation or coordination contexts.",industrial
simplex method,"A industrial term meaning simpleks yöntemi, used in site, drawing, installation or coordination contexts.",industrial
sensitivity analysis,"A industrial term meaning duyarlılık analizi, used in site, drawing, installation or coordination contexts.",industrial
network flow optimization,"A industrial term meaning ağ akışı optimizasyonu, used in site, drawing, installation or coordination contexts.",industrial
transportation problem,"A industrial term meaning taşıma problemi, used in site, drawing, installation or coordination contexts.",industrial
assignment problem,"A industrial term meaning atama problemi, used in site, drawing, installation or coordination contexts.",industrial
dynamic programming (OR),"A industrial term meaning dinamik programlama (YA), used in site, drawing, installation or coordination contexts.",industrial
nonlinear programming,"A industrial term meaning doğrusal olmayan programlama, used in site, drawing, installation or coordination contexts.",industrial
stochastic optimization,"A industrial term meaning stokastik optimizasyon, used in site, drawing, installation or coordination contexts.",industrial
multi-objective optimization,"A industrial term meaning çok amaçlı optimizasyon, used in site, drawing, installation or coordination contexts.",industrial
Lagrangian relaxation,"A industrial term meaning Lagrange gevşetmesi, used in site, drawing, installation or coordination contexts.",industrial
metaheuristic algorithm,"A industrial term meaning meta-sezgisel algoritma, used in site, drawing, installation or coordination contexts.",industrial
solve a problem,"A industrial term meaning problem çözmek, used in site, drawing, installation or coordination contexts.",industrial
optimal solution,"A industrial term meaning en iyi çözüm, used in site, drawing, installation or coordination contexts.",industrial
genetic algorithm,"A industrial term meaning genetik algoritma, used in site, drawing, installation or coordination contexts.",industrial
simulated annealing algorithm,"A industrial term meaning tavlama benzetimi algoritması, used in site, drawing, installation or coordination contexts.",industrial
production line,"A industrial term meaning üretim hattı, used in site, drawing, installation or coordination contexts.",industrial
production plan,"A industrial term meaning üretim planı, used in site, drawing, installation or coordination contexts.",industrial
production scheduling,"A industrial term meaning üretim çizelgeleme, used in site, drawing, installation or coordination contexts.",industrial
long-term capacity planning,"A industrial term meaning uzun vadeli kapasite planlama, used in site, drawing, installation or coordination contexts.",industrial
production control,"A industrial term meaning üretim kontrolü, used in site, drawing, installation or coordination contexts.",industrial
master production schedule,"A industrial term meaning ana üretim çizelgesi, used in site, drawing, installation or coordination contexts.",industrial
batch production,"A industrial term meaning seri üretim (batch), used in site, drawing, installation or coordination contexts.",industrial
mass production,"A industrial term meaning kitlesel üretim, used in site, drawing, installation or coordination contexts.",industrial
job shop production,"A industrial term meaning atölye tipi üretim, used in site, drawing, installation or coordination contexts.",industrial
aggregate production planning,"A industrial term meaning toplu üretim planlama, used in site, drawing, installation or coordination contexts.",industrial
material requirements planning,"A industrial term meaning malzeme ihtiyaç planlaması (MRP), used in site, drawing, installation or coordination contexts.",industrial
production leveling,"A industrial term meaning üretim dengeleme, used in site, drawing, installation or coordination contexts.",industrial
bottleneck management,"A industrial term meaning darboğaz yönetimi, used in site, drawing, installation or coordination contexts.",industrial
theory of constraints,"A industrial term meaning kısıtlar teorisi, used in site, drawing, installation or coordination contexts.",industrial
cellular manufacturing,"A industrial term meaning hücresel üretim, used in site, drawing, installation or coordination contexts.",industrial
flow shop scheduling,"A industrial term meaning akış tipi çizelgeleme, used in site, drawing, installation or coordination contexts.",industrial
just-in-time production system,"A industrial term meaning tam zamanında üretim sistemi, used in site, drawing, installation or coordination contexts.",industrial
make a product,"A industrial term meaning ürün üretmek, used in site, drawing, installation or coordination contexts.",industrial
production rate,"A industrial term meaning üretim hızı, used in site, drawing, installation or coordination contexts.",industrial
in-process quality control,"A industrial term meaning süreç içi kalite kontrolü, used in site, drawing, installation or coordination contexts.",industrial
manufacturing defect,"A industrial term meaning üretim kusuru, used in site, drawing, installation or coordination contexts.",industrial
quality assurance program,"A industrial term meaning kalite güvencesi programı, used in site, drawing, installation or coordination contexts.",industrial
industry quality standard,"A industrial term meaning endüstri kalite standardı, used in site, drawing, installation or coordination contexts.",industrial
inspection process,"A industrial term meaning muayene süreci, used in site, drawing, installation or coordination contexts.",industrial
quality management system,"A industrial term meaning kalite yönetim sistemi, used in site, drawing, installation or coordination contexts.",industrial
ISO 9001 certification,"A industrial term meaning ISO 9001 sertifikasyonu, used in site, drawing, installation or coordination contexts.",industrial
total quality management,"A industrial term meaning toplam kalite yönetimi, used in site, drawing, installation or coordination contexts.",industrial
statistical quality control,"A industrial term meaning istatistiksel kalite kontrolü, used in site, drawing, installation or coordination contexts.",industrial
control chart,"A industrial term meaning kontrol grafiği, used in site, drawing, installation or coordination contexts.",industrial
process capability analysis,"A industrial term meaning süreç yeterlilik analizi, used in site, drawing, installation or coordination contexts.",industrial
acceptance sampling,"A industrial term meaning kabul örneklemesi, used in site, drawing, installation or coordination contexts.",industrial
cost of quality,"A industrial term meaning kalite maliyeti, used in site, drawing, installation or coordination contexts.",industrial
quality audit,"A industrial term meaning kalite denetimi, used in site, drawing, installation or coordination contexts.",industrial
DMAIC process,"A industrial term meaning DMAIC süreci, used in site, drawing, installation or coordination contexts.",industrial
design of experiments,"A industrial term meaning deney tasarımı, used in site, drawing, installation or coordination contexts.",industrial
quality function deployment,"A industrial term meaning kalite fonksiyonu yayılımı (QFD), used in site, drawing, installation or coordination contexts.",industrial
process capability ratio,"A industrial term meaning süreç yeterlilik oranı, used in site, drawing, installation or coordination contexts.",industrial
check the quality,"A industrial term meaning kaliteyi kontrol etmek, used in site, drawing, installation or coordination contexts.",industrial
quality checklist,"A industrial term meaning kalite kontrol listesi, used in site, drawing, installation or coordination contexts.",industrial
Pareto analysis,"A industrial term meaning Pareto analizi, used in site, drawing, installation or coordination contexts.",industrial
Poka-yoke error proofing,"A industrial term meaning Poka-yoke hata önleme, used in site, drawing, installation or coordination contexts.",industrial
waste reduction,"A industrial term meaning israf azaltma, used in site, drawing, installation or coordination contexts.",industrial
lean production system,"A industrial term meaning yalın üretim sistemi, used in site, drawing, installation or coordination contexts.",industrial
kaizen event,"A industrial term meaning kaizen etkinliği, used in site, drawing, installation or coordination contexts.",industrial
5S methodology,"A industrial term meaning 5S metodolojisi, used in site, drawing, installation or coordination contexts.",industrial
continuous improvement,"A industrial term meaning sürekli iyileştirme, used in site, drawing, installation or coordination contexts.",industrial
standard work,"A industrial term meaning standart iş, used in site, drawing, installation or coordination contexts.",industrial
kanban system,"A industrial term meaning kanban sistemi, used in site, drawing, installation or coordination contexts.",industrial
pull system,"A industrial term meaning çekme sistemi, used in site, drawing, installation or coordination contexts.",industrial
takt time,"A industrial term meaning takt zamanı, used in site, drawing, installation or coordination contexts.",industrial
muda elimination,"A industrial term meaning israfın (muda) elenmesi, used in site, drawing, installation or coordination contexts.",industrial
visual management,"A industrial term meaning görsel yönetim, used in site, drawing, installation or coordination contexts.",industrial
total productive maintenance,"A industrial term meaning toplam üretken bakım (TPM), used in site, drawing, installation or coordination contexts.",industrial
lean transformation strategy,"A industrial term meaning yalın dönüşüm stratejisi, used in site, drawing, installation or coordination contexts.",industrial
gemba walk,"A industrial term meaning gemba yürüyüşü, used in site, drawing, installation or coordination contexts.",industrial
heijunka production leveling,"A industrial term meaning heijunka üretim dengeleme, used in site, drawing, installation or coordination contexts.",industrial
jidoka autonomation,"A industrial term meaning jidoka otonomasyon, used in site, drawing, installation or coordination contexts.",industrial
reduce waste,"A industrial term meaning israfı azaltmak, used in site, drawing, installation or coordination contexts.",industrial
waste identification,"A industrial term meaning israf tespiti, used in site, drawing, installation or coordination contexts.",industrial
raw material supplier,"A industrial term meaning hammadde tedarikçisi, used in site, drawing, installation or coordination contexts.",industrial
end customer,"A industrial term meaning son müşteri, used in site, drawing, installation or coordination contexts.",industrial
supply chain,"A industrial term meaning tedarik zinciri, used in site, drawing, installation or coordination contexts.",industrial
procurement function,"A industrial term meaning satın alma fonksiyonu, used in site, drawing, installation or coordination contexts.",industrial
supplier relationship management,"A industrial term meaning tedarikçi ilişkileri yönetimi, used in site, drawing, installation or coordination contexts.",industrial
purchase order tracking,"A industrial term meaning satın alma siparişi takibi, used in site, drawing, installation or coordination contexts.",industrial
vendor management,"A industrial term meaning tedarikçi yönetimi, used in site, drawing, installation or coordination contexts.",industrial
supply chain optimization,"A industrial term meaning tedarik zinciri optimizasyonu, used in site, drawing, installation or coordination contexts.",industrial
demand-supply matching,"A industrial term meaning talep-arz eşleştirmesi, used in site, drawing, installation or coordination contexts.",industrial
bullwhip effect,"A industrial term meaning kırbaç etkisi, used in site, drawing, installation or coordination contexts.",industrial
supplier evaluation criteria,"A industrial term meaning tedarikçi değerlendirme kriterleri, used in site, drawing, installation or coordination contexts.",industrial
vendor-managed inventory,"A industrial term meaning tedarikçi yönetimli envanter, used in site, drawing, installation or coordination contexts.",industrial
supply chain analytics,"A industrial term meaning tedarik zinciri analitiği, used in site, drawing, installation or coordination contexts.",industrial
order a product,"A industrial term meaning ürün sipariş etmek, used in site, drawing, installation or coordination contexts.",industrial
purchase agreement,"A industrial term meaning satın alma anlaşması, used in site, drawing, installation or coordination contexts.",industrial
outbound shipment,"A industrial term meaning giden sevkiyat, used in site, drawing, installation or coordination contexts.",industrial
delivery truck,"A industrial term meaning teslimat kamyonu, used in site, drawing, installation or coordination contexts.",industrial
logistics management,"A industrial term meaning lojistik yönetimi, used in site, drawing, installation or coordination contexts.",industrial
multi-echelon distribution network,"A industrial term meaning çok kademeli dağıtım ağı, used in site, drawing, installation or coordination contexts.",industrial
freight transportation,"A industrial term meaning yük taşımacılığı, used in site, drawing, installation or coordination contexts.",industrial
warehousing,"A industrial term meaning depolama, used in site, drawing, installation or coordination contexts.",industrial
last-mile delivery,"A industrial term meaning son mil teslimat, used in site, drawing, installation or coordination contexts.",industrial
transportation cost,"A industrial term meaning taşıma maliyeti, used in site, drawing, installation or coordination contexts.",industrial
distribution center,"A industrial term meaning dağıtım merkezi, used in site, drawing, installation or coordination contexts.",industrial
route optimization,"A industrial term meaning rota optimizasyonu, used in site, drawing, installation or coordination contexts.",industrial
cross-docking,"A industrial term meaning çapraz sevkiyat (cross-docking), used in site, drawing, installation or coordination contexts.",industrial
third-party logistics,"A industrial term meaning üçüncü taraf lojistik (3PL), used in site, drawing, installation or coordination contexts.",industrial
freight consolidation,"A industrial term meaning yük konsolidasyonu, used in site, drawing, installation or coordination contexts.",industrial
logistics network design,"A industrial term meaning lojistik ağı tasarımı, used in site, drawing, installation or coordination contexts.",industrial
vehicle routing problem,"A industrial term meaning araç rotalama problemi, used in site, drawing, installation or coordination contexts.",industrial
intermodal transportation planning,"A industrial term meaning kombine taşımacılık planlaması, used in site, drawing, installation or coordination contexts.",industrial
delivery timetable,"A industrial term meaning teslimat zaman çizelgesi, used in site, drawing, installation or coordination contexts.",industrial
shipping label,"A industrial term meaning sevkiyat etiketi, used in site, drawing, installation or coordination contexts.",industrial
finished goods stock,"A industrial term meaning bitmiş ürün stoku, used in site, drawing, installation or coordination contexts.",industrial
raw material inventory,"A industrial term meaning hammadde envanteri, used in site, drawing, installation or coordination contexts.",industrial
inventory control,"A industrial term meaning envanter kontrolü, used in site, drawing, installation or coordination contexts.",industrial
safety stock,"A industrial term meaning güvenlik stoku, used in site, drawing, installation or coordination contexts.",industrial
reorder point,"A industrial term meaning yeniden sipariş noktası, used in site, drawing, installation or coordination contexts.",industrial
stock level,"A industrial term meaning stok seviyesi, used in site, drawing, installation or coordination contexts.",industrial
inventory turnover,"A industrial term meaning envanter devir hızı, used in site, drawing, installation or coordination contexts.",industrial
stockout,"A industrial term meaning stok tükenmesi (stockout), used in site, drawing, installation or coordination contexts.",industrial
economic order quantity,"A industrial term meaning ekonomik sipariş miktarı (EOQ), used in site, drawing, installation or coordination contexts.",industrial
ABC inventory classification,"A industrial term meaning ABC envanter sınıflandırması, used in site, drawing, installation or coordination contexts.",industrial
cycle counting,"A industrial term meaning döngüsel sayım, used in site, drawing, installation or coordination contexts.",industrial
inventory holding cost,"A industrial term meaning envanter tutma maliyeti, used in site, drawing, installation or coordination contexts.",industrial
just-in-time inventory,"A industrial term meaning tam zamanında envanter, used in site, drawing, installation or coordination contexts.",industrial
inventory optimization model,"A industrial term meaning envanter optimizasyonu modeli, used in site, drawing, installation or coordination contexts.",industrial
multi-echelon inventory system,"A industrial term meaning çok kademeli envanter sistemi, used in site, drawing, installation or coordination contexts.",industrial
stochastic inventory model,"A industrial term meaning stokastik envanter modeli, used in site, drawing, installation or coordination contexts.",industrial
