term,turkishMeaning,definition,exampleSentence,turkishExample,domain
demand sensing technique,talep algılama tekniği,"A industrial term meaning talep algılama tekniği, used in site, drawing, installation or coordination contexts.",The demand sensing technique should be ready before commissioning.,Devreye alma öncesinde talep algılama tekniği hazır olmalıdır.,industrial
causal forecasting model,nedensel tahmin modeli,"A industrial term meaning nedensel tahmin modeli, used in site, drawing, installation or coordination contexts.",Please check the causal forecasting model before the next inspection.,Lütfen bir sonraki muayeneden önce nedensel tahmin modeli kontrol edin.,industrial
predict demand,talebi tahmin etmek,"A industrial term meaning talebi tahmin etmek, used in site, drawing, installation or coordination contexts.",The predict demand must be confirmed before the work continues.,İşe devam etmeden önce talebi tahmin etmek teyit edilmelidir.,industrial
forecast horizon,tahmin ufku,"A industrial term meaning tahmin ufku, used in site, drawing, installation or coordination contexts.",The forecast horizon must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce tahmin ufku kontrol edilmelidir.,industrial
weekly work schedule,haftalık çalışma programı,"A industrial term meaning haftalık çalışma programı, used in site, drawing, installation or coordination contexts.",The weekly work schedule should be ready before commissioning.,Devreye alma öncesinde haftalık çalışma programı hazır olmalıdır.,industrial
job sequencing,iş sıralama,"A industrial term meaning iş sıralama, used in site, drawing, installation or coordination contexts.",Please check the job sequencing before the next inspection.,Lütfen bir sonraki muayeneden önce iş sıralama kontrol edin.,industrial
shift scheduling,vardiya çizelgeleme,"A industrial term meaning vardiya çizelgeleme, used in site, drawing, installation or coordination contexts.",The team reviewed the shift scheduling during the technical meeting.,Ekip teknik toplantı sırasında vardiya çizelgeleme gözden geçirdi.,industrial
scheduling algorithm,çizelgeleme algoritması,"A industrial term meaning çizelgeleme algoritması, used in site, drawing, installation or coordination contexts.",The scheduling algorithm must be confirmed before the work continues.,İşe devam etmeden önce çizelgeleme algoritması teyit edilmelidir.,industrial
due date,teslim tarihi,"A industrial term meaning teslim tarihi, used in site, drawing, installation or coordination contexts.",The due date must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce teslim tarihi kontrol edilmelidir.,industrial
processing time,işlem süresi,"A industrial term meaning işlem süresi, used in site, drawing, installation or coordination contexts.",The processing time should be ready before commissioning.,Devreye alma öncesinde işlem süresi hazır olmalıdır.,industrial
makespan minimization,toplam tamamlanma süresi minimizasyonu,"A industrial term meaning toplam tamamlanma süresi minimizasyonu, used in site, drawing, installation or coordination contexts.",The makespan minimization must be confirmed before the work continues.,İşe devam etmeden önce toplam tamamlanma süresi minimizasyonu teyit edilmelidir.,industrial
flow shop sequencing,akış tipi sıralama,"A industrial term meaning akış tipi sıralama, used in site, drawing, installation or coordination contexts.",The flow shop sequencing must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce akış tipi sıralama kontrol edilmelidir.,industrial
multi-machine scheduling algorithm,çok makineli çizelgeleme algoritması,"A industrial term meaning çok makineli çizelgeleme algoritması, used in site, drawing, installation or coordination contexts.",Please check the multi-machine scheduling algorithm before the next inspection.,Lütfen bir sonraki muayeneden önce çok makineli çizelgeleme algoritması kontrol edin.,industrial
real-time rescheduling optimization,gerçek zamanlı yeniden çizelgeleme optimizasyonu,"A industrial term meaning gerçek zamanlı yeniden çizelgeleme optimizasyonu, used in site, drawing, installation or coordination contexts.",The real-time rescheduling optimization must be confirmed before the work continues.,İşe devam etmeden önce gerçek zamanlı yeniden çizelgeleme optimizasyonu teyit edilmelidir.,industrial
plan the schedule,programı planlamak,"A industrial term meaning programı planlamak, used in site, drawing, installation or coordination contexts.",The plan the schedule must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce programı planlamak kontrol edilmelidir.,industrial
shift roster,vardiya listesi,"A industrial term meaning vardiya listesi, used in site, drawing, installation or coordination contexts.",The shift roster should be ready before commissioning.,Devreye alma öncesinde vardiya listesi hazır olmalıdır.,industrial
process improvement idea,süreç iyileştirme fikri,"A industrial term meaning süreç iyileştirme fikri, used in site, drawing, installation or coordination contexts.",Please check the process improvement idea before the next inspection.,Lütfen bir sonraki muayeneden önce süreç iyileştirme fikri kontrol edin.,industrial
business process reengineering,iş süreci yeniden yapılandırma,"A industrial term meaning iş süreci yeniden yapılandırma, used in site, drawing, installation or coordination contexts.",The team reviewed the business process reengineering during the technical meeting.,Ekip teknik toplantı sırasında iş süreci yeniden yapılandırma gözden geçirdi.,industrial
process mapping,süreç haritalama,"A industrial term meaning süreç haritalama, used in site, drawing, installation or coordination contexts.",The process mapping must be confirmed before the work continues.,İşe devam etmeden önce süreç haritalama teyit edilmelidir.,industrial
operational performance metric,operasyonel performans metriği,"A industrial term meaning operasyonel performans metriği, used in site, drawing, installation or coordination contexts.",The operational performance metric must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce operasyonel performans metriği kontrol edilmelidir.,industrial
benchmarking,kıyaslama (benchmarking),"A industrial term meaning kıyaslama (benchmarking), used in site, drawing, installation or coordination contexts.",The benchmarking should be ready before commissioning.,Devreye alma öncesinde kıyaslama (benchmarking) hazır olmalıdır.,industrial
key performance indicator,temel performans göstergesi (KPI),"A industrial term meaning temel performans göstergesi (KPI), used in site, drawing, installation or coordination contexts.",Please check the key performance indicator before the next inspection.,Lütfen bir sonraki muayeneden önce temel performans göstergesi (KPI) kontrol edin.,industrial
balanced scorecard,dengeli sonuç kartı,"A industrial term meaning dengeli sonuç kartı, used in site, drawing, installation or coordination contexts.",The team reviewed the balanced scorecard during the technical meeting.,Ekip teknik toplantı sırasında dengeli sonuç kartı gözden geçirdi.,industrial
process standardization,süreç standardizasyonu,"A industrial term meaning süreç standardizasyonu, used in site, drawing, installation or coordination contexts.",The process standardization must be confirmed before the work continues.,İşe devam etmeden önce süreç standardizasyonu teyit edilmelidir.,industrial
cross-functional process improvement,işlevler arası süreç iyileştirme,"A industrial term meaning işlevler arası süreç iyileştirme, used in site, drawing, installation or coordination contexts.",The cross-functional process improvement must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce işlevler arası süreç iyileştirme kontrol edilmelidir.,industrial
improve the process,süreci iyileştirmek,"A industrial term meaning süreci iyileştirmek, used in site, drawing, installation or coordination contexts.",The team reviewed the improve the process during the technical meeting.,Ekip teknik toplantı sırasında süreci iyileştirmek gözden geçirdi.,industrial
improvement suggestion,iyileştirme önerisi,"A industrial term meaning iyileştirme önerisi, used in site, drawing, installation or coordination contexts.",The improvement suggestion must be confirmed before the work continues.,İşe devam etmeden önce iyileştirme önerisi teyit edilmelidir.,industrial
industrial engineer,endüstri mühendisi,"A industrial term meaning endüstri mühendisi, used in site, drawing, installation or coordination contexts.",The industrial engineer must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce endüstri mühendisi kontrol edilmelidir.,industrial
production planner,üretim planlamacısı,"A industrial term meaning üretim planlamacısı, used in site, drawing, installation or coordination contexts.",The production planner should be ready before commissioning.,Devreye alma öncesinde üretim planlamacısı hazır olmalıdır.,industrial
quality engineer,kalite mühendisi,"A industrial term meaning kalite mühendisi, used in site, drawing, installation or coordination contexts.",Please check the quality engineer before the next inspection.,Lütfen bir sonraki muayeneden önce kalite mühendisi kontrol edin.,industrial
process engineer,süreç mühendisi,"A industrial term meaning süreç mühendisi, used in site, drawing, installation or coordination contexts.",The team reviewed the process engineer during the technical meeting.,Ekip teknik toplantı sırasında süreç mühendisi gözden geçirdi.,industrial
supply chain analyst,tedarik zinciri analisti,"A industrial term meaning tedarik zinciri analisti, used in site, drawing, installation or coordination contexts.",The supply chain analyst must be confirmed before the work continues.,İşe devam etmeden önce tedarik zinciri analisti teyit edilmelidir.,industrial
logistics coordinator,lojistik koordinatörü,"A industrial term meaning lojistik koordinatörü, used in site, drawing, installation or coordination contexts.",The logistics coordinator must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce lojistik koordinatörü kontrol edilmelidir.,industrial
operations manager,operasyon yöneticisi,"A industrial term meaning operasyon yöneticisi, used in site, drawing, installation or coordination contexts.",The operations manager should be ready before commissioning.,Devreye alma öncesinde operasyon yöneticisi hazır olmalıdır.,industrial
continuous improvement engineer,sürekli iyileştirme mühendisi,"A industrial term meaning sürekli iyileştirme mühendisi, used in site, drawing, installation or coordination contexts.",Please check the continuous improvement engineer before the next inspection.,Lütfen bir sonraki muayeneden önce sürekli iyileştirme mühendisi kontrol edin.,industrial
lean manufacturing specialist,yalın üretim uzmanı,"A industrial term meaning yalın üretim uzmanı, used in site, drawing, installation or coordination contexts.",The team reviewed the lean manufacturing specialist during the technical meeting.,Ekip teknik toplantı sırasında yalın üretim uzmanı gözden geçirdi.,industrial
methods engineer,metot mühendisi,"A industrial term meaning metot mühendisi, used in site, drawing, installation or coordination contexts.",The methods engineer must be confirmed before the work continues.,İşe devam etmeden önce metot mühendisi teyit edilmelidir.,industrial
production supervisor,üretim amiri,"A industrial term meaning üretim amiri, used in site, drawing, installation or coordination contexts.",The production supervisor must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce üretim amiri kontrol edilmelidir.,industrial
inventory analyst,envanter analisti,"A industrial term meaning envanter analisti, used in site, drawing, installation or coordination contexts.",The inventory analyst should be ready before commissioning.,Devreye alma öncesinde envanter analisti hazır olmalıdır.,industrial
operations research analyst,yöneylem araştırması analisti,"A industrial term meaning yöneylem araştırması analisti, used in site, drawing, installation or coordination contexts.",Please check the operations research analyst before the next inspection.,Lütfen bir sonraki muayeneden önce yöneylem araştırması analisti kontrol edin.,industrial
business process analyst,iş süreci analisti,"A industrial term meaning iş süreci analisti, used in site, drawing, installation or coordination contexts.",The team reviewed the business process analyst during the technical meeting.,Ekip teknik toplantı sırasında iş süreci analisti gözden geçirdi.,industrial
industrial engineering manager,endüstri mühendisliği müdürü,"A industrial term meaning endüstri mühendisliği müdürü, used in site, drawing, installation or coordination contexts.",The industrial engineering manager must be confirmed before the work continues.,İşe devam etmeden önce endüstri mühendisliği müdürü teyit edilmelidir.,industrial
distribution warehouse,dağıtım deposu,"A industrial term meaning dağıtım deposu, used in site, drawing, installation or coordination contexts.",Please check the distribution warehouse before the next inspection.,Lütfen bir sonraki muayeneden önce dağıtım deposu kontrol edin.,industrial
storage shelf unit,depolama raf ünitesi,"A industrial term meaning depolama raf ünitesi, used in site, drawing, installation or coordination contexts.",The team reviewed the storage shelf unit during the technical meeting.,Ekip teknik toplantı sırasında depolama raf ünitesi gözden geçirdi.,industrial
warehouse management system,depo yönetim sistemi,"A industrial term meaning depo yönetim sistemi, used in site, drawing, installation or coordination contexts.",The warehouse management system must be confirmed before the work continues.,İşe devam etmeden önce depo yönetim sistemi teyit edilmelidir.,industrial
material handling equipment,malzeme taşıma ekipmanı,"A industrial term meaning malzeme taşıma ekipmanı, used in site, drawing, installation or coordination contexts.",The material handling equipment must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce malzeme taşıma ekipmanı kontrol edilmelidir.,industrial
picking process,toplama süreci,"A industrial term meaning toplama süreci, used in site, drawing, installation or coordination contexts.",The picking process should be ready before commissioning.,Devreye alma öncesinde toplama süreci hazır olmalıdır.,industrial
packing station,paketleme istasyonu,"A industrial term meaning paketleme istasyonu, used in site, drawing, installation or coordination contexts.",Please check the packing station before the next inspection.,Lütfen bir sonraki muayeneden önce paketleme istasyonu kontrol edin.,industrial
storage rack,depolama rafı,"A industrial term meaning depolama rafı, used in site, drawing, installation or coordination contexts.",The team reviewed the storage rack during the technical meeting.,Ekip teknik toplantı sırasında depolama rafı gözden geçirdi.,industrial
warehouse slotting optimization,depo yerleştirme optimizasyonu,"A industrial term meaning depo yerleştirme optimizasyonu, used in site, drawing, installation or coordination contexts.",The warehouse slotting optimization must be confirmed before the work continues.,İşe devam etmeden önce depo yerleştirme optimizasyonu teyit edilmelidir.,industrial
order picking strategy,sipariş toplama stratejisi,"A industrial term meaning sipariş toplama stratejisi, used in site, drawing, installation or coordination contexts.",The order picking strategy must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce sipariş toplama stratejisi kontrol edilmelidir.,industrial
AS/RS crane system,AS/RS vinç sistemi,"A industrial term meaning AS/RS vinç sistemi, used in site, drawing, installation or coordination contexts.",The AS/RS crane system should be ready before commissioning.,Devreye alma öncesinde AS/RS vinç sistemi hazır olmalıdır.,industrial
dock scheduling,rampa çizelgeleme,"A industrial term meaning rampa çizelgeleme, used in site, drawing, installation or coordination contexts.",Please check the dock scheduling before the next inspection.,Lütfen bir sonraki muayeneden önce rampa çizelgeleme kontrol edin.,industrial
warehouse layout optimization,depo yerleşimi optimizasyonu,"A industrial term meaning depo yerleşimi optimizasyonu, used in site, drawing, installation or coordination contexts.",The team reviewed the warehouse layout optimization during the technical meeting.,Ekip teknik toplantı sırasında depo yerleşimi optimizasyonu gözden geçirdi.,industrial
cross-docking strategy design,çapraz sevkiyat stratejisi tasarımı,"A industrial term meaning çapraz sevkiyat stratejisi tasarımı, used in site, drawing, installation or coordination contexts.",The cross-docking strategy design must be confirmed before the work continues.,İşe devam etmeden önce çapraz sevkiyat stratejisi tasarımı teyit edilmelidir.,industrial
move the boxes,kutuları taşımak,"A industrial term meaning kutuları taşımak, used in site, drawing, installation or coordination contexts.",The move the boxes must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce kutuları taşımak kontrol edilmelidir.,industrial
pallet jack,transpalet,"A industrial term meaning transpalet, used in site, drawing, installation or coordination contexts.",The pallet jack should be ready before commissioning.,Devreye alma öncesinde transpalet hazır olmalıdır.,industrial
manufacturing system,üretim sistemi,"A industrial term meaning üretim sistemi, used in site, drawing, installation or coordination contexts.",Please check the manufacturing system before the next inspection.,Lütfen bir sonraki muayeneden önce üretim sistemi kontrol edin.,industrial
process design (manufacturing),süreç tasarımı (üretim),"A industrial term meaning süreç tasarımı (üretim), used in site, drawing, installation or coordination contexts.",The team reviewed the process design (manufacturing) during the technical meeting.,Ekip teknik toplantı sırasında süreç tasarımı (üretim) gözden geçirdi.,industrial
workstation sequencing,iş istasyonu sıralaması,"A industrial term meaning iş istasyonu sıralaması, used in site, drawing, installation or coordination contexts.",The workstation sequencing must be confirmed before the work continues.,İşe devam etmeden önce iş istasyonu sıralaması teyit edilmelidir.,industrial
assembly line design,montaj hattı tasarımı,"A industrial term meaning montaj hattı tasarımı, used in site, drawing, installation or coordination contexts.",The assembly line design must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce montaj hattı tasarımı kontrol edilmelidir.,industrial
manufacturing cell design,üretim hücresi tasarımı,"A industrial term meaning üretim hücresi tasarımı, used in site, drawing, installation or coordination contexts.",The manufacturing cell design should be ready before commissioning.,Devreye alma öncesinde üretim hücresi tasarımı hazır olmalıdır.,industrial
line balancing technique,hat dengeleme tekniği,"A industrial term meaning hat dengeleme tekniği, used in site, drawing, installation or coordination contexts.",Please check the line balancing technique before the next inspection.,Lütfen bir sonraki muayeneden önce hat dengeleme tekniği kontrol edin.,industrial
group technology,grup teknolojisi,"A industrial term meaning grup teknolojisi, used in site, drawing, installation or coordination contexts.",The group technology must be confirmed before the work continues.,İşe devam etmeden önce grup teknolojisi teyit edilmelidir.,industrial
process capacity analysis,süreç kapasitesi analizi,"A industrial term meaning süreç kapasitesi analizi, used in site, drawing, installation or coordination contexts.",The process capacity analysis must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce süreç kapasitesi analizi kontrol edilmelidir.,industrial
manufacturing systems reconfiguration,üretim sistemleri yeniden yapılandırma,"A industrial term meaning üretim sistemleri yeniden yapılandırma, used in site, drawing, installation or coordination contexts.",The manufacturing systems reconfiguration should be ready before commissioning.,Devreye alma öncesinde üretim sistemleri yeniden yapılandırma hazır olmalıdır.,industrial
assembly step,montaj adımı,"A industrial term meaning montaj adımı, used in site, drawing, installation or coordination contexts.",The team reviewed the assembly step during the technical meeting.,Ekip teknik toplantı sırasında montaj adımı gözden geçirdi.,industrial
production cell,üretim hücresi,"A industrial term meaning üretim hücresi, used in site, drawing, installation or coordination contexts.",The production cell must be confirmed before the work continues.,İşe devam etmeden önce üretim hücresi teyit edilmelidir.,industrial
machine breakdown,makine arızası,"A industrial term meaning makine arızası, used in site, drawing, installation or coordination contexts.",The machine breakdown must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce makine arızası kontrol edilmelidir.,industrial
reliability engineering,güvenilirlik mühendisliği,"A industrial term meaning güvenilirlik mühendisliği, used in site, drawing, installation or coordination contexts.",The reliability engineering should be ready before commissioning.,Devreye alma öncesinde güvenilirlik mühendisliği hazır olmalıdır.,industrial
preventive maintenance schedule,önleyici bakım programı,"A industrial term meaning önleyici bakım programı, used in site, drawing, installation or coordination contexts.",Please check the preventive maintenance schedule before the next inspection.,Lütfen bir sonraki muayeneden önce önleyici bakım programı kontrol edin.,industrial
equipment MTBF metric,ekipman MTBF metriği,"A industrial term meaning ekipman MTBF metriği, used in site, drawing, installation or coordination contexts.",The team reviewed the equipment MTBF metric during the technical meeting.,Ekip teknik toplantı sırasında ekipman MTBF metriği gözden geçirdi.,industrial
maintenance budget analysis,bakım bütçesi analizi,"A industrial term meaning bakım bütçesi analizi, used in site, drawing, installation or coordination contexts.",The maintenance budget analysis must be confirmed before the work continues.,İşe devam etmeden önce bakım bütçesi analizi teyit edilmelidir.,industrial
reliability-centered maintenance,güvenilirlik merkezli bakım,"A industrial term meaning güvenilirlik merkezli bakım, used in site, drawing, installation or coordination contexts.",The reliability-centered maintenance must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce güvenilirlik merkezli bakım kontrol edilmelidir.,industrial
failure rate analysis,arıza oranı analizi,"A industrial term meaning arıza oranı analizi, used in site, drawing, installation or coordination contexts.",The failure rate analysis should be ready before commissioning.,Devreye alma öncesinde arıza oranı analizi hazır olmalıdır.,industrial
weibull distribution analysis,Weibull dağılımı analizi,"A industrial term meaning Weibull dağılımı analizi, used in site, drawing, installation or coordination contexts.",The team reviewed the weibull distribution analysis during the technical meeting.,Ekip teknik toplantı sırasında Weibull dağılımı analizi gözden geçirdi.,industrial
system reliability modeling,sistem güvenilirliği modellemesi,"A industrial term meaning sistem güvenilirliği modellemesi, used in site, drawing, installation or coordination contexts.",The system reliability modeling must be confirmed before the work continues.,İşe devam etmeden önce sistem güvenilirliği modellemesi teyit edilmelidir.,industrial
maintenance optimization model,bakım optimizasyonu modeli,"A industrial term meaning bakım optimizasyonu modeli, used in site, drawing, installation or coordination contexts.",The maintenance optimization model must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce bakım optimizasyonu modeli kontrol edilmelidir.,industrial
fix the machine,makineyi tamir etmek,"A industrial term meaning makineyi tamir etmek, used in site, drawing, installation or coordination contexts.",The fix the machine should be ready before commissioning.,Devreye alma öncesinde makineyi tamir etmek hazır olmalıdır.,industrial
maintenance plan,bakım planı,"A industrial term meaning bakım planı, used in site, drawing, installation or coordination contexts.",Please check the maintenance plan before the next inspection.,Lütfen bir sonraki muayeneden önce bakım planı kontrol edin.,industrial
recycling program,geri dönüşüm programı,"A industrial term meaning geri dönüşüm programı, used in site, drawing, installation or coordination contexts.",The team reviewed the recycling program during the technical meeting.,Ekip teknik toplantı sırasında geri dönüşüm programı gözden geçirdi.,industrial
sustainable manufacturing,sürdürülebilir üretim,"A industrial term meaning sürdürülebilir üretim, used in site, drawing, installation or coordination contexts.",The sustainable manufacturing must be confirmed before the work continues.,İşe devam etmeden önce sürdürülebilir üretim teyit edilmelidir.,industrial
green supply chain,yeşil tedarik zinciri,"A industrial term meaning yeşil tedarik zinciri, used in site, drawing, installation or coordination contexts.",The green supply chain must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce yeşil tedarik zinciri kontrol edilmelidir.,industrial
waste reduction strategy,israf azaltma stratejisi,"A industrial term meaning israf azaltma stratejisi, used in site, drawing, installation or coordination contexts.",The waste reduction strategy should be ready before commissioning.,Devreye alma öncesinde israf azaltma stratejisi hazır olmalıdır.,industrial
closed-loop supply chain,kapalı döngü tedarik zinciri,"A industrial term meaning kapalı döngü tedarik zinciri, used in site, drawing, installation or coordination contexts.",The closed-loop supply chain must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce kapalı döngü tedarik zinciri kontrol edilmelidir.,industrial
save resources,kaynak tasarrufu yapmak,"A industrial term meaning kaynak tasarrufu yapmak, used in site, drawing, installation or coordination contexts.",The team reviewed the save resources during the technical meeting.,Ekip teknik toplantı sırasında kaynak tasarrufu yapmak gözden geçirdi.,industrial
environmental impact reduction,çevresel etki azaltma,"A industrial term meaning çevresel etki azaltma, used in site, drawing, installation or coordination contexts.",The environmental impact reduction must be confirmed before the work continues.,İşe devam etmeden önce çevresel etki azaltma teyit edilmelidir.,industrial
purchase price,satın alma fiyatı,"A industrial term meaning satın alma fiyatı, used in site, drawing, installation or coordination contexts.",The purchase price must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce satın alma fiyatı kontrol edilmelidir.,industrial
procurement process,satın alma süreci,"A industrial term meaning satın alma süreci, used in site, drawing, installation or coordination contexts.",The procurement process should be ready before commissioning.,Devreye alma öncesinde satın alma süreci hazır olmalıdır.,industrial
request for quotation,teklif isteme (RFQ),"A industrial term meaning teklif isteme (RFQ), used in site, drawing, installation or coordination contexts.",Please check the request for quotation before the next inspection.,Lütfen bir sonraki muayeneden önce teklif isteme (RFQ) kontrol edin.,industrial
supplier contract,tedarikçi sözleşmesi,"A industrial term meaning tedarikçi sözleşmesi, used in site, drawing, installation or coordination contexts.",The team reviewed the supplier contract during the technical meeting.,Ekip teknik toplantı sırasında tedarikçi sözleşmesi gözden geçirdi.,industrial
negotiation strategy,müzakere stratejisi,"A industrial term meaning müzakere stratejisi, used in site, drawing, installation or coordination contexts.",The negotiation strategy must be confirmed before the work continues.,İşe devam etmeden önce müzakere stratejisi teyit edilmelidir.,industrial
bid evaluation,teklif değerlendirmesi,"A industrial term meaning teklif değerlendirmesi, used in site, drawing, installation or coordination contexts.",The bid evaluation must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce teklif değerlendirmesi kontrol edilmelidir.,industrial
strategic sourcing,stratejik tedarik,"A industrial term meaning stratejik tedarik, used in site, drawing, installation or coordination contexts.",The strategic sourcing should be ready before commissioning.,Devreye alma öncesinde stratejik tedarik hazır olmalıdır.,industrial
supplier qualification process,tedarikçi yeterlilik süreci,"A industrial term meaning tedarikçi yeterlilik süreci, used in site, drawing, installation or coordination contexts.",The team reviewed the supplier qualification process during the technical meeting.,Ekip teknik toplantı sırasında tedarikçi yeterlilik süreci gözden geçirdi.,industrial
contract negotiation,sözleşme müzakeresi,"A industrial term meaning sözleşme müzakeresi, used in site, drawing, installation or coordination contexts.",The contract negotiation must be confirmed before the work continues.,İşe devam etmeden önce sözleşme müzakeresi teyit edilmelidir.,industrial
supplier performance scorecard,tedarikçi performans kartı,"A industrial term meaning tedarikçi performans kartı, used in site, drawing, installation or coordination contexts.",The supplier performance scorecard should be ready before commissioning.,Devreye alma öncesinde tedarikçi performans kartı hazır olmalıdır.,industrial
buy materials,malzeme satın almak,"A industrial term meaning malzeme satın almak, used in site, drawing, installation or coordination contexts.",Please check the buy materials before the next inspection.,Lütfen bir sonraki muayeneden önce malzeme satın almak kontrol edin.,industrial
purchase requisition,satın alma talebi,"A industrial term meaning satın alma talebi, used in site, drawing, installation or coordination contexts.",The team reviewed the purchase requisition during the technical meeting.,Ekip teknik toplantı sırasında satın alma talebi gözden geçirdi.,industrial
import operations,ithalat operasyonları,"A industrial term meaning ithalat operasyonları, used in site, drawing, installation or coordination contexts.",The import operations must be confirmed before the work continues.,İşe devam etmeden önce ithalat operasyonları teyit edilmelidir.,industrial
export operations,ihracat operasyonları,"A industrial term meaning ihracat operasyonları, used in site, drawing, installation or coordination contexts.",The export operations must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce ihracat operasyonları kontrol edilmelidir.,industrial
global operations management,küresel operasyon yönetimi,"A industrial term meaning küresel operasyon yönetimi, used in site, drawing, installation or coordination contexts.",The global operations management should be ready before commissioning.,Devreye alma öncesinde küresel operasyon yönetimi hazır olmalıdır.,industrial
offshoring,yurt dışına taşıma (offshoring),"A industrial term meaning yurt dışına taşıma (offshoring), used in site, drawing, installation or coordination contexts.",Please check the offshoring before the next inspection.,Lütfen bir sonraki muayeneden önce yurt dışına taşıma (offshoring) kontrol edin.,industrial
nearshoring,yakın kıyıya taşıma (nearshoring),"A industrial term meaning yakın kıyıya taşıma (nearshoring), used in site, drawing, installation or coordination contexts.",The team reviewed the nearshoring during the technical meeting.,Ekip teknik toplantı sırasında yakın kıyıya taşıma (nearshoring) gözden geçirdi.,industrial
customs clearance,gümrük işlemleri,"A industrial term meaning gümrük işlemleri, used in site, drawing, installation or coordination contexts.",The customs clearance must be confirmed before the work continues.,İşe devam etmeden önce gümrük işlemleri teyit edilmelidir.,industrial
global sourcing strategy,küresel tedarik stratejisi,"A industrial term meaning küresel tedarik stratejisi, used in site, drawing, installation or coordination contexts.",The global sourcing strategy must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce küresel tedarik stratejisi kontrol edilmelidir.,industrial
international trade compliance,uluslararası ticaret uyumluluğu,"A industrial term meaning uluslararası ticaret uyumluluğu, used in site, drawing, installation or coordination contexts.",The international trade compliance should be ready before commissioning.,Devreye alma öncesinde uluslararası ticaret uyumluluğu hazır olmalıdır.,industrial
free trade agreement,serbest ticaret anlaşması,"A industrial term meaning serbest ticaret anlaşması, used in site, drawing, installation or coordination contexts.",Please check the free trade agreement before the next inspection.,Lütfen bir sonraki muayeneden önce serbest ticaret anlaşması kontrol edin.,industrial
multinational operations coordination,çok uluslu operasyon koordinasyonu,"A industrial term meaning çok uluslu operasyon koordinasyonu, used in site, drawing, installation or coordination contexts.",The multinational operations coordination must be confirmed before the work continues.,İşe devam etmeden önce çok uluslu operasyon koordinasyonu teyit edilmelidir.,industrial
import goods,mal ithal etmek,"A industrial term meaning mal ithal etmek, used in site, drawing, installation or coordination contexts.",The import goods must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce mal ithal etmek kontrol edilmelidir.,industrial
incoterms,teslim şekilleri (Incoterms),"A industrial term meaning teslim şekilleri (Incoterms), used in site, drawing, installation or coordination contexts.",The incoterms should be ready before commissioning.,Devreye alma öncesinde teslim şekilleri (Incoterms) hazır olmalıdır.,industrial
data report,veri raporu,"A industrial term meaning veri raporu, used in site, drawing, installation or coordination contexts.",Please check the data report before the next inspection.,Lütfen bir sonraki muayeneden önce veri raporu kontrol edin.,industrial
operations dashboard,operasyon gösterge paneli,"A industrial term meaning operasyon gösterge paneli, used in site, drawing, installation or coordination contexts.",The team reviewed the operations dashboard during the technical meeting.,Ekip teknik toplantı sırasında operasyon gösterge paneli gözden geçirdi.,industrial
data-driven decision making,veri odaklı karar verme,"A industrial term meaning veri odaklı karar verme, used in site, drawing, installation or coordination contexts.",The data-driven decision making must be confirmed before the work continues.,İşe devam etmeden önce veri odaklı karar verme teyit edilmelidir.,industrial
performance dashboard,performans gösterge paneli,"A industrial term meaning performans gösterge paneli, used in site, drawing, installation or coordination contexts.",The performance dashboard must be checked before the next site activity starts.,Bir sonraki saha aktivitesi başlamadan önce performans gösterge paneli kontrol edilmelidir.,industrial
real-time analytics,gerçek zamanlı analitik,"A industrial term meaning gerçek zamanlı analitik, used in site, drawing, installation or coordination contexts.",The real-time analytics should be ready before commissioning.,Devreye alma öncesinde gerçek zamanlı analitik hazır olmalıdır.,industrial
prescriptive analytics,reçeteleyici analitik,"A industrial term meaning reçeteleyici analitik, used in site, drawing, installation or coordination contexts.",The team reviewed the prescriptive analytics during the technical meeting.,Ekip teknik toplantı sırasında reçeteleyici analitik gözden geçirdi.,industrial
